Name,Gender,Language,Categories,Personalities,Speech Sample
Ana,Female,English,"Cartoon, Conversation",Cute,mp3/English/en-US-AnaNeural.mp3
Aria,Female,English,"News, Novel","Positive, Confident",mp3/English/en-US-AriaNeural.mp3
Christopher,Male,English,"News, Novel","Reliable, Authority",mp3/English/en-US-ChristopherNeural.mp3
Eric,Male,English,"News, Novel",Rational,mp3/English/en-US-EricNeural.mp3
Guy,Male,English,"News, Novel",Passion,mp3/English/en-US-GuyNeural.mp3
Jenny,Female,English,General,"Friendly, Considerate, Comfort",mp3/English/en-US-JennyNeural.mp3
Michelle,Female,English,"News, Novel","Friendly, Pleasant",mp3/English/en-US-MichelleNeural.mp3
Roger,Male,English,"News, Novel",Lively,mp3/English/en-US-RogerNeural.mp3
Steffan,Male,English,"News, Novel",Rational,mp3/English/en-US-SteffanNeural.mp3
Anu,Female,Estonian,General,"Friendly, Positive",mp3/Estonian/et-EE-AnuNeural.mp3
Kert,Male,Estonian,General,"Friendly, Positive",mp3/Estonian/et-EE-KertNeural.mp3
Angelo,Male,Filipino,General,"Friendly, Positive",mp3/Filipino/fil-PH-AngeloNeural.mp3
Blessica,Female,Filipino,General,"Friendly, Positive",mp3/Filipino/fil-PH-BlessicaNeural.mp3
Harri,Male,Finnish,General,"Friendly, Positive",mp3/Finnish/fi-FI-HarriNeural.mp3
Noora,Female,Finnish,General,"Friendly, Positive",mp3/Finnish/fi-FI-NooraNeural.mp3
Charline,Female,French,General,"Friendly, Positive",mp3/French/fr-BE-CharlineNeural.mp3
Gerard,Male,French,General,"Friendly, Positive",mp3/French/fr-BE-GerardNeural.mp3
Thierry,Male,French,General,"Friendly, Positive",mp3/French/fr-CA-ThierryNeural.mp3
Antoine,Male,French,General,"Friendly, Positive",mp3/French/fr-CA-AntoineNeural.mp3
Jean,Male,French,General,"Friendly, Positive",mp3/French/fr-CA-JeanNeural.mp3
Sylvie,Female,French,General,"Friendly, Positive",mp3/French/fr-CA-SylvieNeural.mp3
VivienneMultilingual,Female,French,General,"Friendly, Positive",mp3/French/fr-FR-VivienneMultilingualNeural.mp3
RemyMultilingual,Male,French,General,"Friendly, Positive",mp3/French/fr-FR-RemyMultilingualNeural.mp3
Denise,Female,French,General,"Friendly, Positive",mp3/French/fr-FR-DeniseNeural.mp3
Eloise,Female,French,General,"Friendly, Positive",mp3/French/fr-FR-EloiseNeural.mp3
Henri,Male,French,General,"Friendly, Positive",mp3/French/fr-FR-HenriNeural.mp3
Ariane,Female,French,General,"Friendly, Positive",mp3/French/fr-CH-ArianeNeural.mp3
Fabrice,Male,French,General,"Friendly, Positive",mp3/French/fr-CH-FabriceNeural.mp3
Roi,Male,Galician,General,"Friendly, Positive",mp3/Galician/gl-ES-RoiNeural.mp3
Sabela,Female,Galician,General,"Friendly, Positive",mp3/Galician/gl-ES-SabelaNeural.mp3
Eka,Female,Georgian,General,"Friendly, Positive",mp3/Georgian/ka-GE-EkaNeural.mp3
Giorgi,Male,Georgian,General,"Friendly, Positive",mp3/Georgian/ka-GE-GiorgiNeural.mp3
Ingrid,Female,German,General,"Friendly, Positive",mp3/German/de-AT-IngridNeural.mp3
Jonas,Male,German,General,"Friendly, Positive",mp3/German/de-AT-JonasNeural.mp3
SeraphinaMultilingual,Female,German,General,"Friendly, Positive",mp3/German/de-DE-SeraphinaMultilingualNeural.mp3
FlorianMultilingual,Male,German,General,"Friendly, Positive",mp3/German/de-DE-FlorianMultilingualNeural.mp3
Amala,Female,German,General,"Friendly, Positive",mp3/German/de-DE-AmalaNeural.mp3
